id,body_part,equipment,gif_url,name,target
1659,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1659.gif,"dumbbell hammer curl on exercise ball",biceps
1660,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1660.gif,"dumbbell kneeling bicep curl exercise ball",biceps
1661,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1661.gif,"dumbbell lying supine biceps curl",biceps
1662,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1662.gif,"dumbbell lying wide curl",biceps
1663,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1663.gif,"dumbbell one arm hammer preacher curl",biceps
1664,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1664.gif,"dumbbell high curl",biceps
1665,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1665.gif,"dumbbell one arm prone curl",biceps
1666,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1666.gif,"dumbbell one arm prone hammer curl",biceps
1667,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1667.gif,"dumbbell one arm reverse spider curl",biceps
1668,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1668.gif,"dumbbell one arm seated bicep curl on exercise ball",biceps
1669,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1669.gif,"dumbbell one arm seated hammer curl",biceps
1670,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1670.gif,"dumbbell one arm standing curl",biceps
1671,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1671.gif,"dumbbell one arm standing hammer curl",biceps
1672,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1672.gif,"dumbbell one arm zottman preacher curl",biceps
1673,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1673.gif,"dumbbell preacher curl over exercise ball",biceps
1674,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1674.gif,"dumbbell prone incline hammer curl",biceps
